turn_id,pause_index,p_eot
en__000,0,0.2432
en__000,1,0.0701
en__000,2,0.2728
en__000,3,0.1345
en__001,0,0.3444
en__001,1,0.4006
en__002,0,0.1542
en__002,1,0.4630
en__002,2,0.3576
en__002,3,0.4595
en__002,4,0.5156
en__002,5,0.6184
en__002,6,0.3688
en__003,0,0.5811
en__004,0,0.6236
en__004,1,0.5039
en__005,0,0.0287
en__005,1,0.4016
en__006,0,0.2274
en__006,1,0.3397
en__006,2,0.4274
en__007,0,0.1389
en__007,1,0.4606
en__007,2,0.2624
en__007,3,0.2553
en__007,4,0.2285
en__007,5,0.1000
en__007,6,0.4777
en__008,0,0.4111
en__008,1,0.5667
en__008,2,0.4157
en__008,3,0.5720
en__009,0,0.3867
en__010,0,0.3207
en__010,1,0.1417
en__011,0,0.4449
en__012,0,0.2753
en__012,1,0.1389
en__012,2,0.4846
en__013,0,0.5156
en__014,0,0.1013
en__014,1,0.7876
en__015,0,0.0370
en__015,1,0.2826
en__016,0,0.2201
en__016,1,0.4016
en__016,2,0.3452
en__017,0,0.5641
en__017,1,0.3867
en__018,0,0.2400
en__018,1,0.0500
en__018,2,0.2627
en__018,3,0.1013
en__018,4,0.1867
en__018,5,0.3183
en__019,0,0.2321
en__020,0,0.4630
en__020,1,0.3854
en__020,2,0.5820
en__021,0,0.3292
en__022,0,0.6399
en__022,1,0.4583
en__023,0,0.1345
en__023,1,0.0857
en__023,2,0.2677
en__024,0,0.0846
en__024,1,0.5016
en__024,2,0.5016
en__025,0,0.3763
en__026,0,0.5151
en__027,0,0.6184
en__027,1,0.6184
en__028,0,0.4466
en__028,1,0.3538
en__029,0,0.2211
en__029,1,0.2819
en__029,2,0.3880
en__030,0,0.3846
en__030,1,0.3538
en__030,2,0.5853
en__030,3,0.4569
en__030,4,0.5137
en__031,0,0.5156
en__032,0,0.2845
en__032,1,0.4246
en__033,0,0.0695
en__034,0,0.4235
en__034,1,0.3867
en__035,0,0.3228
en__035,1,0.1425
en__035,2,0.4970
en__036,0,0.2035
en__036,1,0.5325
en__036,2,0.2451
en__037,0,0.3983
en__037,1,0.5943
en__037,2,0.5266
en__037,3,0.5080
en__038,0,0.1107
en__038,1,0.1918
en__038,2,0.3904
en__038,3,0.4028
en__039,0,0.2312
en__039,1,0.2471
en__039,2,0.2257
en__040,0,0.3377
en__041,0,0.3741
en__042,0,0.0513
en__042,1,0.1724
en__042,2,0.4006
en__042,3,0.5720
en__042,4,0.4274
en__043,0,0.3183
en__044,0,0.3443
en__044,1,0.4811
en__044,2,0.8821
en__045,0,0.1737
en__045,1,0.3904
en__046,0,0.1588
en__046,1,0.0948
en__046,2,0.4730
en__047,0,0.4052
en__048,0,0.3007
en__048,1,0.2264
en__049,0,0.1019
en__049,1,0.1275
en__049,2,0.3264
en__049,3,0.1812
en__049,4,0.4032
en__050,0,0.2006
en__051,0,0.4583
en__051,1,0.8074
en__051,2,0.6425
en__052,0,0.3688
en__052,1,0.4574
en__052,2,0.7727
en__053,0,0.3175
en__053,1,0.5341
en__054,0,0.4274
en__054,1,0.5151
en__055,0,0.3978
en__056,0,0.6377
en__057,0,0.6473
en__058,0,0.6177
en__059,0,0.1033
en__059,1,0.0701
en__059,2,0.4070
en__060,0,0.4164
en__060,1,0.1275
en__061,0,0.7970
en__061,1,0.5745
en__061,2,0.5720
en__062,0,0.5853
en__063,0,0.3317
en__063,1,0.4101
en__064,0,0.5521
en__064,1,0.7727
en__065,0,0.5080
en__065,1,0.1461
en__065,2,0.2354
en__066,0,0.3189
en__066,1,0.4625
en__067,0,0.2652
en__067,1,0.4016
en__067,2,0.4016
en__068,0,0.3090
en__068,1,0.1278
en__068,2,0.2264
en__069,0,0.2819
en__069,1,0.6553
en__070,0,0.1039
